53,11392
90,19677
alemannengasse,324
allmendstrasse,423
allschwilerstr,2841
altrheinweg,34926
amerbachstrasse,18769
auberg,1858
b,43626
badenstrasse,42916
baeumliweg,9743
bahnhofstrasse,20
baiergasse,324
baselstr,50880
belchenstrasse,3405
bettingerstr,32531
birsigstrasse,2049
birsstrasse,15572
bischoffweg,3716
blaesiring,29070
blauenstrasse,52527
brennerstrasse,13668
brombacherstr,184
brueglingerstr,2414
buechelstr,1453
bundesstrasse,13192
burgstrasse,8
buschweilerweg,2062
byfangweg,5488
chrischonaweg,12245
claragraben,96220
colmarerstr,19
d,5072
dorfstrasse,817
dornacherstrasse,1294
drahtzugstrasse,10260
drosselstrasse,4299
elsässerstr,5054
entenweidstrasse,18533
erlenmattstr,3828
erlenstrasse,88052
essigstrasse,2669
eulerstrasse,45552
falkensteinerstr,1010
fasanenstrasse,49068
fatiostrasse,8589
feldbergstrasse,27803
felsplattenstr,76491
fischerweg,2725
florastrasse,749
freie-strasse,63611
friedensgasse,35
friedrichstr,4301
gaertnerstr,7718
gartenstrasse,37085
gasse,10380
gasstrasse,2296
gellertstrasse,188
giornicostrasse,17007
gotenstrasse,48578
grendelgasse,741
grosspeterstr,113150
gstaltenrainweg,4792
güterstrasse,25146
hafenstrasse,29527
hammerstrasse,29
hardstrasse,3648
hauptstrasse,239
hebelstrasse,1618
hegenheimerstr,17
helvetierstr,8170
herbergsgasse,111
hirshalm,3605
hirzbrunnenstr,3124
hochstrasse,41
hoernlistrasse,73157
holeestrasse,36291
horburgstrasse,7867
höhenweg,13091
hörnliallee,16975
inselstrasse,11013
inzlingerstr,835
inzlingerstr,330
inzlingerstrasse,2639
itelpfad,170
keltenweg,10885
kilchgrundstr,15908
kleinhueninger,145076
kleinriehenstr,4016
klingelbergstr,377
klosterberg,15768
klybeckstrasse,3620
kohlenberg,4270
laufenstrasse,183
leimenstrasse,13474
leimgrubenweg,17
leonhardsstr,20374
leonhardstr,31083
lerchenstrasse,4480
leuengasse,1490
li,21547
luzernerring,86488
m.oppenheim-st,12171
magdenstrasse,6813
malzgasse,2686
margarethenstr,3549
marktplatz,6174
marschalkenstr,344
mauerstrasse,25560
maulbeerstrasse,84831
meierweg,6044
metzerstrasse,61521
muelhauserstr,69463
muellheimerstr,2231
nauenstrasse,30723
neubadstrasse,165842
neudorfstrasse,54717
neuhausstrasse,24565
oberwilerstr,104619
oetlingerstr,114
p.rot-strasse,181
paradieshofstr,974
passwangstr,2419
peters,33640
petersgraben,13986
pfaffenlohweg,5662
predigerhofstr,19860
rauracherstrasse,115207
realpstrasse,278
rehhagstrasse,6939
reiterstrasse,558
reservoirstrasse,5672
rheinacker,12407
rheingasse,14844
rheinweg,17590
riehenring,24323
riehenstrasse,3175
ring,11700
ruedinstrasse,2857
saengergasse,2744
salinenstrasse,71
schaeublinstr,4913
schliengerweg,10863
schmiedgasse,20903
schneidergasse,76960
schoenaustrasse,8903
schuetzengasse,2794
schuetzengraben,12521
schweizergasse,16
sevogelstrasse,3088
sieglinweg,5199
spalenberg,51563
spalenring,35365
spalenvorstadt,3822
spitalstrasse,702
st.alban-ring,6283
steinengraben,16203
steinenring,100898
str,417012
suedquai,11531
talweg,3689
tangentenweg,13085
theaterstrasse,22995
theodorsgraben,907
türkheimerstr,33792
utengasse,556
vogelsangstr,554
vogesenstrasse,2341
voltastrasse,7857
walkeweg,264
wanderstrasse,7924
wasserstrasse,1221
weilstrasse,117240
wenkenstr,1755
wettsteinallee,9433
wiesendamm,15086
wiesenstrasse,5786
winkelriedplatz,7414
wolf,134194
wyhlenweg,5933
zwingerstrasse,33777
zürcherstrasse,32393
