15,2720
1ahonstrasse,25592
1altrheinweg,4756
1badenweilerstra,3556
1baeumlihofstr,56096
1burgfelderstras,36335
1essigstrasse,3250
1grenzacherwe,7392
1hackbergstrasse,2301
1hegenheimerst,30550
1holeestrasse,59120
1horburgstrasse,29048
1mattenstrasse,33681
1niederholzstras,6061
1pilatusstrasse,2993
1reiterstrasse,24892
1reservoirstrass,3567
1ruechliweg,7318
1schäferstrasse,4564
1wasserstelzenwe,6466
20,25494
28,5561
2birsstrasse,38660
30,12253
31,1809
39,36052
5,11681
53,11392
90,19677
aeuss.baselstr,313620
alemannengasse,8939
allmendstrasse,6710
allschwilerstr,73335
altrheinweg,34926
amerbachstrasse,18769
angensteinerst,648
auberg,78286
b,43626
bachlettenstra,9171
badenstrasse,42916
baeumliweg,9743
bahnhofstrasse,42121
baiergasse,324
baldeggerstras,45440
baselst,111061
baselstr,50880
belchenstrasse,3405
belforterstras,63498
bettingerstr,61664
bettingerstra,18639
binningerstras,131443
birmansgasse,50531
birsigstrasse,30431
birsstrasse,60552
bischoffweg,3716
blaesiring,29070
blauenstrasse,87348
blumerain,90486
breisacherstra,41796
brennerstrasse,93934
brombacherstr,24960
bruderholzalle,7710
bruderholzstra,36771
brueglingerstr,90930
buechelstr,1453
bundesstrasse,106326
burgstrasse,17932
buschweilerweg,6180
byfangweg,5488
bäumlihofstras,104109
chrischonaweg,12245
claragraben,120561
colmarerstr,13016
d,5072
dafldsbodenstr,8419
dittingerstras,27152
dorenbachviadu,216925
dorfstrasse,11927
dornacherstrasse,115218
drahtzugstrasse,35942
drosselstrasse,4299
efringerstrass,17740
elisabethens,56168
elisabethenstras,57313
elsässerstr,95765
entenweidstrasse,66228
erlenmattstr,6613
erlenmattstras,7771
erlenstrasse,88052
essigstrasse,5037
eulerstrasse,45552
falkensteinerstr,6842
fasanenstrasse,166439
fatiostrasse,8589
feldbergstrasse,163394
felsplattenstr,76491
fischerweg,7414
florastrasse,8282
flughafenstras,293538
freie-strasse,63611
freuburgerstrass,264193
friedensgasse,8783
friedrichsgass,7610
friedrichstr,4301
fuerstensteine,1522
fussgängerbrüc,14794
gaertnerstr,37710
gartenstrasse,58730
gasse,10380
gasstrasse,8817
gellertstrasse,17162
gempestrasse,3689
giornicostrasse,44447
gotenstrasse,48578
gotthardstrass,20422
gotthelfstrass,22865
grendelgasse,3083
grenzacherstrass,192610
grosspeterstr,313593
gstaltenrainweg,4792
gundeldingerst,170117
gwenkstrasse,41131
güterstrasse,42325
hackbergstrass,2902
hafenstrasse,29527
hammerstras,37445
hammerstrasse,61813
hardstrasse,138880
hauensteinerst,3406
hauptstrasse,7365
hebelstrasse,20794
hegenheimerstr,51430
hegenheimerstras,124006
helvetierstr,8170
herbergsgasse,5021
hirshalm,3605
hirzbrunnenstr,8063
hochbergerstrass,208428
hochstrasse,32665
hoernlistrasse,73157
holeestrasse,119790
horburgstrasse,152559
höhenweg,19169
hörnliallee,116572
d.ziegelhoef,3582
immenbachstras,4686
inselstrasse,11013
inzlingerstr,14941
inzlingerstr,24101
inzlingerstras,113125
inzlingerstrasse,103143
itelpfad,2067
jacburckhardt,16062
kannenfeldstra,93807
keltenweg,10885
kilchgrundstr,15908
kilchgrundstra,15508
kilometerwegl,32184
kjaspersalle,3967
kleinhkleinhnkle,79692
kleinhuenigera,154031
kleinhueninge,22432
kleinhueninger,145076
kleinhüningers,18673
kleinriehenstr,4016
klingelbergstr,39810
klingentalstrass,62269
klosteberg,34112
klosterberg,45652
klybeckstrasse,144934
kohlenberg,19688
laufenstrasse,9325
lehenmattstras,29940
leimenstrasse,72875
leimgrubenweg,979
leonhardsgrabe,41217
leonhardsstr,20374
leonhardstr,31083
lerchenstrasse,4480
leuengasse,20415
li,21547
liesbergerstra,325681
lin,14606
lothringerstrass,21925
luzernerring,373794
luzernerringb,88895
m.oppenheim-st,92806
magdenstrasse,6813
malzgasse,14183
margarethenstr,215159
markgräflerst,9550
marktplatz,19062
marschalkenstr,10962
mauerstrasse,57691
maulbeerstrasse,84831
meierweg,6044
metzerstrasse,61521
missionsstrssse,57427
mohrgartenring,136817
muelhauserstr,69463
muelhauserstra,42241
muelhauserstrass,27915
muellheimerstr,17161
muenchensteine,103673
nauenstrasse,399421
neubadstrasse,165842
neudorfstrasse,54717
neuhausstrasse,34474
neuweilerstras,128420
niederholzb,3201
niederholzstra,6401
niederholzstrass,7265
oberwilerstr,104619
oetlingerstr,6039
offenbugerstra,34141
oltingerstrass,7987
p.merianstrass,13351
p.rot-strasse,33189
paradieshofstr,3480
passwangstr,2419
peters,54070
petersgra,69227
petersgraben,23341
petrsgasse,17578
pfaffenlohweg,5662
pfeffingerstra,6795
predigerhofstr,19860
rauracherstras,35349
rauracherstrasse,115207
realpstrasse,2744
rebgaaae,26443
rehhagstrasse,11207
reihnacker,1630
reinacherstras,121619
reiterstrasse,61500
reservoirstrasse,5672
rheinacker,12407
rheingasse,27703
rheinweg,17590
riehenring,117814
riehenstrasse,160437
ring,11700
rud.wackernage,158983
ruedinstrasse,2857
ruemelinsbachweg,7518
ruetimeyerstra,249599
ruetimeyerstrass,70075
rufacherstrass,5622
saengergasse,2744
salinenstrasse,961
schaeferstras,3280
schaeublinstr,4913
schaeublinstrass,5886
schaeublistras,3441
schaffhauserrh,9472
schellenb,1823
schlachthofstras,69344
schliengerweg,10863
schmiedgasse,20903
schneidergasse,76960
schoenaustrasse,115085
schorenma,3918
schuetzengasse,6283
schuetzengraben,91043
schuetzenmatts,51860
schuetzenrainw,1112
schwarzwaldst,60773
schweizergasse,4227
sdr_4281b.sdr,7107
seltisbergerst,44121
sempacherstras,12819
sevogelstrasse,50926
sieglinweg,5199
spalenberg,51563
spalenring,112086
spalenvorstadt,29818
spaltentorweg,4149
spitalstras,166932
spitalstrasse,80516
st.alban-anlag,82373
st.alban-ring,10163
st.alban-vorst,35318
st.jakobs-str,5080
st.johanns-rhe,6860
st.johanns-rin,40290
steinbuehlalle,14294
steinbuelallee,10149
steinengraben,57566
steinenring,100898
steinentorstra,236480
steingrubenwe,12540
stjakobs-str,12860
stjakobs-stras,62375
stjohanns-vor,30539
str,417012
strkandererstr,16307
suedquai,11531
suedquaistrass,18570
talweg,3689
tangentenweg,18128
theaterstrasse,72038
theodorsgraben,8710
thiersteinerr,2540
thiersteinerra,1935
türkheimerstr,33792
unt.batteriewe,34152
